age,workclass,edu,yearsedu,married,occupation,relationship,race,sex,income,loss,hours,country,y
12.414,92,20,4.138,65,14,68,101,59,692.01,0,13.369,98,0
17.189,88,90,3.1831,61,26,49,101,59,0,0,4.138,98,0
12.096,80,42,2.8648,28,44,68,101,59,0,0,12.732,98,0
11.777,80,3,2.2282,61,44,49,101,59,0,0,12.732,98,0
8.9127,80,90,4.138,61,82,103,21,37,0,0,12.732,27,0
11.777,88,63,4.4563,61,34,103,101,37,0,0,12.732,98,0
15.597,80,8,1.5915,62,71,68,21,37,0,0,12.732,54,0
7.3211,80,20,4.138,65,14,73,101,37,0,0,9.5493,98,0
10.186,80,18,3.8197,65,79,68,21,59,0,0,15.915,98,0
10.823,80,7,1.2732,61,85,49,15,59,0,0,14.324,64,0
7.9577,88,42,2.8648,65,71,73,101,59,0,0,11.141,98,0
10.186,80,29,4.4563,65,58,99,21,37,0,0,12.732,98,0
12.096,80,3,2.2282,61,71,49,101,59,0,0,15.915,98,0
17.189,80,42,2.8648,89,71,99,21,37,0,0,6.3662,98,0
11.141,36,8,1.5915,61,35,49,101,59,0,0,12.732,98,0
13.687,80,3,2.5465,61,96,49,101,59,0,649.99,12.732,97,0
18.78,80,42,2.8648,28,94,99,101,37,0,0,12.732,98,0
8.5944,80,20,3.8197,65,26,73,101,59,0,0,12.732,98,0
15.915,36,42,2.8648,28,34,68,101,59,0,0,25.465,98,0
10.504,80,90,2.8648,61,26,49,101,59,0,0,12.732,98,0
7.3211,80,18,3.8197,65,83,68,101,59,0,0,16.552,98,0
11.777,80,90,3.1831,65,85,73,21,59,0,0,14.006,98,0
14.324,80,20,4.138,28,34,73,101,37,0,448.18,12.732,98,0
9.5493,36,42,2.8648,61,83,73,101,59,0,0,12.732,98,0
7.0028,80,90,3.1831,61,71,49,101,59,0,0,4.7746,93,0
15.279,80,3,2.2282,65,58,99,101,59,0,0,12.732,84,0
5.7296,80,90,3.1831,65,58,73,21,59,0,0,12.732,98,0
6.0479,80,42,2.8648,60,85,103,101,37,0,0,7.9577,98,0
15.279,88,18,3.8197,61,82,49,101,59,0,0,12.732,98,0
14.324,80,8,1.5915,61,58,49,101,59,0,0,13.687,98,0
16.87,88,20,4.138,61,82,49,101,59,0,0,12.732,98,0
7.6394,80,20,4.138,61,94,49,17,59,0,0,15.915,98,0
15.597,80,42,2.8648,89,14,99,101,37,0,0,12.732,98,0
7.9577,80,42,2.8648,65,44,68,101,59,0,0,12.732,98,0
18.78,80,42,2.8648,61,58,49,101,59,0,0,12.096,98,0
14.006,80,18,4.4563,28,34,99,101,37,0,0,12.732,97,0
13.051,80,19,3.5014,61,26,49,101,59,0,0,12.732,98,0
9.231,80,19,3.5014,65,82,68,101,37,0,0,13.687,98,0
7.9577,80,90,3.1831,61,14,103,69,37,0,0,12.732,98,0
5.7296,80,42,2.8648,65,26,73,101,59,0,0,9.5493,97,0
12.414,87,42,3.1831,28,34,68,101,59,0,0,19.099,98,0
16.552,80,6,0.95493,61,58,49,101,59,0,0,12.732,64,0
11.141,80,90,3.5014,61,71,49,101,59,0,0,12.732,25,0
13.051,80,42,2.8648,61,14,49,101,59,0,0,15.279,98,0
14.006,80,42,2.8648,61,58,49,101,59,1595.7,0,12.732,86,0
9.5493,80,20,4.138,61,85,49,101,59,766.17,0,12.732,98,0
17.189,88,8,1.5915,62,26,68,101,59,0,0,12.732,98,0
15.279,80,42,2.8648,61,96,49,101,59,0,0,12.732,98,0
9.231,80,90,3.1831,28,94,68,101,59,0,0,12.732,98,0
11.459,80,42,2.8648,61,85,49,101,59,0,0,12.732,98,0
13.051,80,90,3.1831,28,14,68,101,37,0,0,12.732,98,0
7.9577,80,90,3.1831,65,14,73,101,59,0,0,12.732,98,0
7.0028,80,90,3.1831,65,82,73,101,59,0,0,10.186,98,0
9.8676,80,20,4.138,89,85,73,21,37,0,605.43,12.732,98,0
7.3211,80,90,3.1831,61,82,49,101,59,0,0,12.732,30,0
8.5944,80,90,3.1831,61,82,70,101,59,0,0,6.3662,98,0
8.5944,80,42,2.8648,65,71,73,101,59,0,0,12.732,64,0
12.732,80,18,3.1831,61,14,49,101,59,0,0,12.732,98,0
21.327,80,2,2.8648,61,82,49,101,59,0,0,0.63662,98,0
5.7296,80,3,2.2282,65,71,73,101,37,0,0,7.9577,98,0
18.144,57,7,1.2732,61,35,49,101,59,0,0,12.732,98,0
5.7296,80,42,2.8648,65,85,73,101,59,0,0,9.5493,98,0
16.552,80,20,4.138,61,71,49,101,59,0,0,12.732,27,0
7.9577,80,42,2.8648,61,71,103,101,37,0,0,12.732,72,0
10.186,80,42,2.8648,61,85,49,101,59,0,0,15.279,98,0
16.87,80,42,2.8648,102,85,73,101,37,0,0,11.141,98,0
10.504,80,63,4.4563,61,82,49,101,59,0,0,15.915,98,0
9.5493,80,8,1.5915,65,85,68,101,59,0,0,15.915,98,0
18.144,80,19,3.5014,61,71,49,101,59,0,0,12.732,98,0
11.777,80,90,3.1831,28,26,99,101,59,0,0,12.732,98,0
8.9127,88,90,3.1831,28,58,99,21,37,0,0,7.9577,98,0
9.5493,80,42,2.8648,61,85,99,17,37,0,500.7,15.915,98,0
9.231,57,2,3.1831,65,34,68,101,59,0,0,15.915,98,0
15.279,80,18,3.8197,28,34,99,101,37,0,0,12.732,33,0
10.186,80,42,2.8648,65,71,73,21,59,0,0,12.732,98,0
14.961,88,63,4.4563,28,82,68,101,37,0,0,12.732,98,0
6.3662,80,90,3.1831,65,94,73,101,37,0,0,12.732,98,0
