age,workclass,edu,yearsedu,married,occupation,relationship,race,sex,income,loss,hours,country,rich
12.414,92,20,3.2324,65,14,68,101,59,692.01,26.754,12.97,94.317,0
12.111,88,44.383,3.1751,61,55.511,49,101,59,0,0,4.138,98,0
12.096,80,42,3.1748,28,44,68,101,51.523,0,0,12.732,94.075,0
12.06,80,3,3.0985,59.607,44,49,88.173,59,233.63,0,12.732,98,0
8.9127,80,44.877,4.138,61,82,103,21,46.56,58.609,0,12.732,27,0
11.777,78.639,63,4.4563,59.961,55.511,103,101,37,0,0,12.732,98,0
15.597,80,8,1.5915,59.96,55.511,68,21,37,0,0,12.754,54,0
7.3211,80,20,4.138,65,14,73,101,51.523,0,0,9.5493,98,0
10.186,80,18,3.8197,65,55.511,68,21,59,0,0,15.915,98,0
10.823,80,7,1.2732,61,55.511,49,15,51.518,0,0,14.324,64,0
7.9577,88,42,2.8648,65,55.511,73,101,51.523,0,0,11.141,98,0
10.186,80,44.38,3.1746,65,58,99,89.368,51.521,0,0,12.732,98,0
12.096,78.639,3,2.2282,61,55.511,66.562,101,59,0,0,15.915,98,0
17.189,77.959,42,2.8648,89,71,99,21,37,54.482,0,6.3662,92.73,0
11.141,36,8,1.5915,61,35,49,89.372,59,0,0,12.732,98,0
13.687,80,3,3.5974,61,96,49,101,59,0,649.99,12.732,95.735,0
18.78,78.639,42,2.8648,28,94,99,101,37,0,0,12.732,98,0
12.111,80,44.382,3.1749,65,26,73,101,59,0,0,12.732,98,0
12.111,78.639,42,3.1749,28,34,68,101,59,0,0,25.465,98,0
12.258,79.05,44.738,2.8648,61,26,63.931,101,59,0,31.472,12.732,98,0
7.3211,78.705,18,3.8197,65,83,68,101,59,0,28.447,16.552,98,0
11.452,77.665,90,3.1831,60.46,85,73,21,59,385.5,12.653,14.006,98,0
14.324,80,20,3.4661,28,34,73,101,54.121,0,448.18,12.732,98,0
9.5493,36,44.469,3.1824,61,55.537,73,101,59,324.12,0,12.732,98,0
7.0028,78.639,90,3.1831,61,71,49,89.374,59,0,0,4.7746,94.076,0
15.279,78.639,3,2.2282,65,58,99,101,59,0,0,12.756,84,0
12.111,80,90,3.1831,59.961,58,73,89.372,59,0,0,12.732,98,0
6.0479,80,42,2.8648,60,55.508,66.26,101,37,0,27.222,7.9577,98,0
15.279,88,18,3.8197,61,82,66.562,101,59,0,0,12.732,98,0
12.173,80,8,1.5915,61,58,66.097,101,59,0,27.54,13.687,94.204,0
16.87,88,20,4.138,61,82,49,101,59,0,0,12.732,98,0
7.6394,78.639,44.382,4.138,61,94,49,89.373,59,0,0,15.915,98,0
15.597,80,42,2.8648,89,14,99,101,47.743,50.619,0,12.732,92.69,0
7.9577,78.639,44.382,2.8648,65,44,68,101,51.523,0,0,12.757,98,0
12.206,80,42,2.8648,61,58,64.431,101,59,0,30.906,12.096,98,0
14.006,80,44.38,4.4563,28,34,99,101,51.521,0,0,12.732,94.074,0
13.051,78.639,19,3.175,61,26,49,101,59,0,0,12.732,98,0
9.231,80,19,3.5014,65,82,68,89.37,51.523,0,0,13.687,98,0
7.9577,80,90,3.1831,61,55.511,103,69,37,0,0,12.732,98,0
5.7296,80,42,2.8648,65,55.191,73,88.304,49.725,0,22.926,9.5493,93.872,0
12.111,87,42,3.1749,28,34,68,101,59,0,0,19.099,94.075,0
12.111,80,6,0.95493,61,58,49,101,51.523,0,0,12.732,64,0
11.141,80,44.382,3.5014,61,71,66.561,101,59,0,0,12.732,94.075,0
13.051,80,42,3.2614,61,14,49,101,54.511,0,35.301,15.279,98,0
12.317,80,45.06,2.8648,61,58,65.815,101,51.892,1595.7,0,12.732,94.229,0
9.5493,80,20,4.138,61,85,66.204,89.608,59,766.17,0,12.732,98,0
12.111,78.639,44.382,3.1749,62,55.511,68,101,59,0,0,12.732,94.075,0
15.279,80,42,3.175,61,96,49,101,59,0,0,12.732,98,0
9.231,80,90,3.1831,28,94,68,101,59,0,0,12.758,98,0
11.459,80,42,3.175,61,55.511,49,101,59,0,0,12.732,98,0
12.11,80,44.381,3.1831,28,14,68,101,37,0,0,12.732,98,0
12.111,78.639,90,3.1831,65,55.511,73,101,59,0,0,12.732,94.075,0
12.111,80,90,3.1831,65,82,66.558,89.374,51.526,0,0,10.186,98,0
9.8676,80,20,4.138,89,85,73,21,37,0,3.9211,12.732,98,0
7.3211,80,90,3.1831,59.251,55.043,62.103,101,59,556.94,0,12.732,96.001,0
12.111,80,90,3.1831,61,82,70,101,59,0,0,6.3662,98,0
8.5944,78.78,42,2.8648,65,71,73,101,59,398.19,0,12.732,64,0
12.732,80,18,3.1749,61,14,49,89.372,51.524,0,0,12.732,98,0
21.327,78.64,2,3.1748,61,55.511,66.563,89.37,59,0,0,0.63662,94.075,0
5.7296,78.64,3,2.2282,65,55.511,73,89.367,37,0,0,12.756,98,0
12.111,57,7,1.2732,61,35,49,101,59,0,0,12.732,98,0
5.7296,80,42,2.8648,65,85,66.561,101,59,0,0,9.5493,98,0
16.552,80,20,4.138,61,71,49,89.216,59,0,25.955,12.732,27,0
12.109,80,44.38,2.8648,61,71,103,101,37,0,0,12.732,94.074,0
12.111,80,42,3.1749,61,85,66.561,101,59,0,0,15.279,94.075,0
16.87,80,42,2.8648,59.961,85,73,89.37,51.523,0,0,11.141,94.075,0
10.504,78.639,63,4.4563,61,82,66.56,101,59,0,0,15.915,98,0
9.5493,80,8,3.193,65,85,68,101,59,0,27.267,12.831,98,0
18.144,78.639,19,3.5014,59.962,55.511,49,101,59,0,0,12.758,98,0
11.777,80,44.38,3.1831,28,26,99,101,51.521,0,0,12.732,98,0
8.9127,78.64,90,3.1831,28,58,99,21,37,0,0,7.9577,98,0
9.5493,80,42,2.8648,61,85,61.24,17,37,0,500.7,14.047,95.35,0
9.231,57,44.382,3.1831,65,55.511,68,101,59,0,0,15.915,98,0
15.279,80,18,3.8197,28,34,99,101,37,0,0,12.732,33,0
10.186,78.639,42,2.8648,65,71,73,21,59,0,0,12.732,98,0
14.961,88,63,4.4563,59.961,82,68,101,37,0,0,12.757,94.075,0
6.3662,80,90,3.1831,59.961,94,73,101,37,0,0,12.732,98,0
9.231,78.639,42,2.8648,65,26,68,101,59,0,0,12.732,98,0
5.4113,79.553,48.888,3.6915,65,60.803,73,101,37,10853,1.3502,14.044,98,0
9.5493,78.497,3,2.2282,65,55.606,73,85.998,47.788,128.25,0,12.732,98,0
9.8676,57,42,2.8648,59.961,14,68,101,37,0,0,12.732,98,0
13.369,80,42,2.8648,61,44,49,101,59,0,0,12.758,98,0
7.6394,78.639,20,4.138,65,85,70,101,51.523,0,0,12.757,98,0
8.9127,80,90,3.1831,59.605,85,63.504,101,37,1293.6,29.077,7.9577,98,0
12.11,78.639,42,2.8648,65,58,73,101,37,0,0,12.732,98,0
16.87,80,8,1.5915,61,55.511,49,101,59,0,0,15.915,98,0
17.825,87,90,3.1831,59.962,85,49,101,59,0,0,15.915,98,0
12.566,80,43.848,3.1831,61.168,85,49,92.211,55.841,590.26,0,13.286,98,0
7.0028,80,42,2.8648,65,26,68,101,59,0,30.73,13.051,98,0
6.6845,80,90,3.1831,65,71,73,101,37,0,0,12.732,98,0
12.111,80,20,3.175,61,34,49,101,51.524,0,0,19.099,98,0
9.5493,80,44.378,3.1743,65,34,73,21,59,0,0,12.732,39,0
6.0479,80,90,3.1831,65,71,73,21,46.22,0,11.909,11.141,92.242,0
13.302,80,90,3.1831,65,55.471,73,101,37,0,547.17,8.9127,98,0
11.141,78.639,42,2.8648,61,55.511,49,89.373,59,0,0,12.732,94.076,0
12.414,79.097,90,3.1831,28,26,68,101,59,0,34.48,12.732,98,0
8.9127,80,18,3.8197,65,85,68,87.103,37,0,19.603,19.099,98,0
7.6394,80,42,2.8648,60.795,71,68,101,54.775,0,560.86,12.732,98,0
12.096,88,42,3.2432,59.858,56.227,49,89.804,59,1396.1,0,12.949,98,0
11.777,80,20,4.138,61,85,67.515,89.056,59,0,25.138,15.915,98,0
14.642,80,18,3.1137,28,94,68,87.272,48.559,0,20.114,11.459,98,0
13.687,88,42,2.8648,61,26,49,89.373,59,0,0,19.099,98,0
11.758,80,19,3.5014,61,14,103,84.21,37,-125.12,0,11.141,98,0
6.3662,80,90,3.1831,65,85,64.212,101,52.558,0,33.105,12.989,98,0
12.473,79.214,42,2.8648,61,26,49,101,59,0,36.094,12.732,98,0
8.5944,80,90,3.1831,65,85,73,101,37,0,0,12.732,98,0
6.0479,80,90,3.1831,65,71,73,101,59,0,0,9.5493,64,0
22.282,80,90,3.1831,59.962,94,66.558,101,51.526,0,0,12.732,98,0
9.8676,80,42,2.8648,65,96,99,21,37,176.93,0,9.5493,98,0
7.0028,80,44.382,3.1831,61,71,66.56,101,51.525,0,0,7.6394,98,0
12.188,80,42,2.8648,102,55.474,65.356,101,37,0,29.04,7.6394,98,0
20.372,80,3,2.2282,61,55.462,49,95.953,59,0,693.6,12.732,98,0
13.687,78.639,90,3.1831,28,55.511,68,101,51.524,0,0,12.758,98,0
14.961,57,90,3.1831,28,14,99,101,37,0,0,12.096,64,0
10.823,80,42,2.8648,60.035,14,69.205,101,37,177.01,0,12.732,98,0
10.504,78.64,20,3.1742,65,34,70,17,37,0,0,12.754,94.072,0
6.6845,80,44.562,2.8648,65,26,73,101,59,0,29.587,12.962,98,0
12.566,80,42,3.2757,61,26,49,92.569,59,0,36.332,14.642,94.663,0
7.3211,80,20,4.138,59.962,44,66.562,101,59,0,0,12.732,98,0
22.6,76.772,43.329,3.1831,89,85,99,21,59,100.26,1.4217,0.63662,91.569,0
9.231,80,42,2.8648,28,26,68,89.37,59,0,0,19.099,98,0
13.369,80,44.231,4.138,60.359,71,70,90.637,59,448.72,0,15.915,98,0
21.645,78.639,5,0.63662,28,55.511,68,101,37,0,0,6.3662,98,0
7.9577,80,42,2.8648,65,55.503,66.085,101,37,0,27.566,12.732,94.206,0
14.006,78.639,63,4.4563,59.961,55.511,66.561,89.372,37,0,0,12.732,98,0
8.9127,80,42,2.8648,65,34,68,17,51.518,0,0,12.732,33,0
11.459,80,90,3.1831,28,71,99,84.276,37,0,11.445,11.869,64,0
12.414,36,18,3.8197,65,34,68,101,59,162.53,0,13.369,98,0
12.11,92,63,4.4563,102,83,99,101,59,0,0,12.757,98,0
11.728,80,3,2.2282,65,44,73,86.168,47.09,0,17.016,5.093,98,0
21.008,57,19,3.5014,102,82,68,101,52.478,0,29.4,12.936,94.425,0
8.5944,78.854,42,2.8648,65,71,68,101,59,0,30.668,13.012,98,0
12.111,92,42,2.8648,61,83,49,101,59,0,0,12.732,98,0
12.11,80,20,4.138,65,26,68,101,59,0,0,12.757,98,0
11.948,80,42,2.8648,62,85,99,101,49.383,0,20.704,7.9577,98,0
6.6845,80,44.381,2.8648,65,26,73,89.37,59,0,0,12.732,98,0
10.823,80,42,2.8648,65,54.735,68,21,59,0,10.369,11.935,98,0
5.7296,80,42,2.8648,65,71,73,101,59,0,0,3.8197,98,0
10.504,80,44.231,4.138,61,82,49,101,59,587.27,36.149,20.69,98,0
13.687,80,90,3.1831,59.962,14,68,101,51.525,0,0,12.732,98,0
9.5493,80,44.379,3.1744,65,26,68,21,59,0,0,14.324,98,0
10.823,80,42,2.8648,61,14,66.569,21,59,0,0,12.732,98,0
13.051,88,44.382,4.138,28,34,68,101,51.523,0,0,12.732,98,0
16.87,78.639,44.381,4.138,28,55.511,68,101,37,0,0,15.915,98,0
